Refseq_ID	HMT-ID	Species	Strain	Genbank/PROKKA-ID	Satus	Prefer-habitat
279F450a	HMT-279	Porphyromonas pasteri	Strain: F0450a	GB: tbd	Named	Oral
279DP023	HMT-279	Porphyromonas pasteri	Clone: DP023	GB: AF385516	Named	Oral
279CW034	HMT-279	Porphyromonas pasteri	Clone: CW034	GB: AY008310	Named	Oral
279F450c	HMT-279	Porphyromonas pasteri	Strain: F0450c	GB: tbd	Named	Oral
279F450d	HMT-279	Porphyromonas pasteri	Strain: F0450d	GB: tbd	Named	Oral
278BS045	HMT-278	Porphyromonas sp. HMT 278	Clone: BS045	GB: AF385560	Unnamed	Oral
275AW032	HMT-275	Porphyromonas sp. HMT 275	Clone: AW032	GB: AF393476	Phylotype	Oral
277BR037	HMT-277	Porphyromonas sp. HMT 277	Clone: BR037	GB: AF385555	Phylotype	Oral
284EP003	HMT-284	Porphyromonas sp. HMT 284	Clone: EP003	GB: AY008313	Lost	Oral
283DS033	HMT-283	Porphyromonas catoniae	Clone: DS033	GB: AF366271	Named	Oral
283_2823	HMT-283	Porphyromonas catoniae	Strain: ATCC 51270	GB: X82823	Named	Oral
272_X083	HMT-272	Bacteroidaceae [G-1] [G-1] bacterium HMT 272	Clone: _X083	GB: AY005066	Unnamed	Oral
787F0041	HMT-787	Bacteroides pyogenes	Strain: F0041	GB: GQ422748	Named	Unassigned
465_6488	HMT-465	Bacteroides zoogleoformans	Strain: ATCC 33285	GB: L16488	Named	Unassigned
630_6487	HMT-630	Bacteroides heparinolyticus	Strain: ATCC 35895	GB: L16487	Named	Unassigned
630F0110	HMT-630	Bacteroides heparinolyticus	Strain: F0110	GB: GQ422742	Named	Unassigned
466_3406	HMT-466	Alloprevotella tannerae	Strain: 93-1-2	GB: AF183406	Named	Oral
466_5634	HMT-466	Alloprevotella tannerae	Strain: ATCC 51259	GB: AJ005634	Named	Oral
302F0020	HMT-302	Alloprevotella rava	Strain: F0020	GB: GQ422736	Named	Oral
302_9190	HMT-302	Alloprevotella rava	Strain: W6968	GB: JQ039190	Named	Oral
912-Wade	HMT-912	Alloprevotella sp. HMT 912	Clone: BL176	GB: JQ406532	Phylotype	Oral
912Wade2	HMT-912	Alloprevotella sp. HMT 912	Clone: HS3_1W_C6	GB: KC203063	Phylotype	Oral
913_9172	HMT-913	Alloprevotella sp. HMT 913	Clone: P3D1-597	GB: EF509172	Phylotype	Oral
473HF050	HMT-473	Alloprevotella sp. HMT 473	Clone: HF050	GB: AY349399	Unnamed	Oral
473IK062	HMT-473	Alloprevotella sp. HMT 473	Clone: IK062	GB: AY349402	Unnamed	Oral
308DO039	HMT-308	Alloprevotella sp. HMT 308	Clone: DO039	GB: AF385513	Phylotype	Oral
914_7808	HMT-914	Alloprevotella sp. HMT 914	Clone: ncd78e11c1	GB: HM247808	Phylotype	Oral
304DA058	HMT-304	Prevotella sp. HMT 304	Clone: DA058	GB: AY005065	Phylotype	Oral
378_1228	HMT-378	Prevotella micans	Strain: E7_56	GB: AF481228	Named	Oral
299BI027	HMT-299	Prevotella nanceiensis	Clone: BI027	GB: AY005064	Named	Oral
942_6378	HMT-942	Prevotella sp. HMT 942	Clone: 22B412	GB: FJ976378	Phylotype	Oral
562_6476	HMT-562	Prevotella buccalis	Strain: ATCC 35310	GB: L16476	Named	Unassigned
301BS041	HMT-301	Prevotella sp. HMT 301	Clone: BS041	GB: AF385558	Phylotype	Oral
705_3522	HMT-705	Prevotella oralis	Strain: ATCC 33269	GB: AY323522	Named	Oral
705_5176	HMT-705	Prevotella oralis	Clone: ELU0173-000438	GB: HQ815176	Named	Oral
665_1227	HMT-665	Prevotella marshii	Strain: E9_34	GB: AF481227	Named	Oral
781_3320	HMT-781	Prevotella saccharolytica	Strain: JCM 17484	GB: NR_113320	Named	Oral
781F0055	HMT-781	Prevotella saccharolytica	Strain: F0055	GB: GQ422744	Named	Oral
475_7238	HMT-475	Prevotella sp. HMT 475	Clone: ncd2221f05c1	GB: JF187238	Unnamed	Oral
475IK053	HMT-475	Prevotella sp. HMT 475	Clone: IK053	GB: AY349401	Unnamed	Oral
795_8825	HMT-795	Prevotella shahii	Strain: JCM 12083	GB: AB108825	Named	Oral
317_5061	HMT-317	Prevotella sp. HMT 317	Strain: B31FD	GB: AY005061	Unnamed	Oral
317_8624	HMT-317	Prevotella sp. HMT 317	Clone: C3MKM081	GB: AY278624	Unnamed	Oral
472_2261	HMT-472	Prevotella sp. HMT 472	Clone: 070034_820	GB: JQ462261	Unnamed	Oral
658_6481	HMT-658	Prevotella loescheii	Strain: ATCC 15930	GB: L16481	Named	Oral
472GU027	HMT-472	Prevotella sp. HMT 472	Clone: GU027	GB: AY349398	Unnamed	Oral
303_9992	HMT-303	Prevotella pleuritidis	Clone: 102D01	GB: AM419992	Named	Oral
600_5635	HMT-600	Prevotella enoeca	Strain: ATCC 51261	GB: AJ005635	Named	Oral
443_1415	HMT-443	Prevotella sp. HMT 443	Clone: P4PB_24	GB: AY331415	Phylotype	Oral
820_7212	HMT-820	Prevotella sp. HMT 820	Strain: P2A_FAAD4	GB: AF537212	Unnamed	Oral
526_3633	HMT-526	Prevotella sp. HMT 526	Clone: P4P_53	GB: AY944134	Phylotype	Oral
526_4134	HMT-526	Prevotella sp. HMT 526	Clone: MB7_G16	GB: DQ003633	Phylotype	Oral
560_6478	HMT-560	Prevotella buccae	Strain: ATCC 33690	GB: L16478	Named	Oral
553_2605	HMT-553	Prevotella baroniae	Clone: PUS9.180	GB: AJ012605	Named	Oral
583_1876	HMT-583	Prevotella dentalis	Strain: DSM 3688	GB: X81876	Named	Oral
315_8210	HMT-315	Prevotella sp. HMT 315	Clone: 071040_151	GB: JQ468210	Phylotype	Oral
315FW035	HMT-315	Prevotella sp. HMT 315	Clone: FW035	GB: AY349394	Phylotype	Oral
376_1226	HMT-376	Prevotella sp. HMT 376	Strain: E7_34	GB: AF481226	Unnamed	Oral
515_3622	HMT-515	Prevotella sp. HMT 515	Clone: MB3_P13	GB: DQ003622	Phylotype	Oral
556_6475	HMT-556	Prevotella bivia	Strain: ATCC 29303	GB: L16475	Named	Oral
794_0414	HMT-794	Prevotella multisaccharivorax	Strain: JCM 12954	GB: AB200414	Named	Unassigned
293AO009	HMT-293	Prevotella sp. HMT 293	Clone: AO009	GB: AY005059	Phylotype	Oral
305_0424	HMT-305	Prevotella sp. HMT 305	Clone: 070055_034	GB: JQ460424	Phylotype	Oral
305DO014	HMT-305	Prevotella sp. HMT 305	Clone: DO014	GB: AF385509	Phylotype	Oral
300_8625	HMT-300	Prevotella sp. HMT 300	Clone: C3MLM058	GB: AY278625	Phylotype	Oral
300BR014	HMT-300	Prevotella sp. HMT 300	Clone: BR014	GB: AF385554	Phylotype	Oral
300_0563	HMT-300	Prevotella sp. HMT 300	Clone: ncd2142e01c1	GB: JF180563	Phylotype	Oral
292AH125	HMT-292	Prevotella sp. HMT 292	Clone: AH125	GB: AY005060	Phylotype	Oral
292AU120	HMT-292	Prevotella sp. HMT 292	Clone: AU120	GB: GQ422735	Phylotype	Oral
309_6203	HMT-309	Prevotella sp. HMT 309	Clone: 3083	GB: FJ976203	Phylotype	Oral
309DO045	HMT-309	Prevotella sp. HMT 309	Clone: DO045	GB: AF385515	Phylotype	Oral
288_6472	HMT-288	Prevotella oulorum	Strain: ATCC 43324	GB: L16472	Named	Oral
288F0390	HMT-288	Prevotella oulorum	Strain: F0390	GB: tbd	Named	Oral
307_8826	HMT-307	Prevotella salivae	Strain: DSM 15606	GB: AB108826	Named	Oral
311_F045	HMT-311	Prevotella oris	Clone: _F045	GB: AY005056	Named	Oral
311_6474	HMT-311	Prevotella oris	Strain: ATCC 33573	GB: L16474	Named	Oral
289AA016	HMT-289	Prevotella maculosa	Clone: AA016	GB: AY005058	Named	Oral
289AA020	HMT-289	Prevotella maculosa	Clone: AA020	GB: AY005057	Named	Oral
289_4315	HMT-289	Prevotella maculosa	Strain: W1609	GB: EF534315	Named	Oral
396_7050	HMT-396	Prevotella sp. HMT 396	Clone: P4PB_83	GB: AY207050	Phylotype	Oral
693_3963	HMT-693	Prevotella nigrescens	Strain: NCTC 9336	GB: X73963	Named	Oral
693F0103	HMT-693	Prevotella nigrescens	Strain: F0103	GB: GU470890	Named	Oral
714_3121	HMT-714	Prevotella pallens	Strain: JCM 11140	GB: NR_113121	Named	Oral
943_2878	HMT-943	Prevotella aurantiaca	Strain: OMA31	GB: NR_112878	Named	Oral
643_2907	HMT-643	Prevotella intermedia	Strain: 17	GB: NR_102907	Named	Oral
643_3106	HMT-643	Prevotella intermedia	Strain: JCM 12248	GB: NR_113106	Named	Oral
314FU048	HMT-314	Prevotella sp. HMT 314	Clone: FU048	GB: AY349393	Unnamed	Oral
313FM005	HMT-313	Prevotella sp. HMT 313	Clone: FM005	GB: AF432133	Unnamed	Oral
313_9254	HMT-313	Prevotella sp. HMT 313	Clone: 069104_177	GB: JQ449254	Unnamed	Oral
298BE073	HMT-298	Prevotella histicola	Clone: BE073	GB: AF385551	Named	Oral
306DO027	HMT-306	Prevotella sp. HMT 306	Clone: DO027	GB: AF385511	Unnamed	Oral
572_6473	HMT-572	Prevotella veroralis	Strain: ATCC 33779	GB: L16473	Named	Oral
572_4079	HMT-572	Prevotella veroralis	Clone: 071062_262	GB: JQ474079	Named	Oral
572_3124	HMT-572	Prevotella veroralis	Strain: JCM 6290	GB: NR_113124	Named	Oral
469_3525	HMT-469	Prevotella melaninogenica	Strain: ATCC 25845	GB: AY323525	Named	Oral
885_3253	HMT-885	Prevotella scopos	Strain: JCM 17725	GB: AB683253	Named	Oral
782_4304	HMT-782	Prevotella fusca	Strain: JCM 17724	GB: NR_114304	Named	Oral
782F0012	HMT-782	Prevotella fusca	Strain: F0012	GB: GQ422745	Named	Oral
685_2483	HMT-685	Prevotella multiformis	Strain: PPPA21	GB: AB182483	Named	Oral
291AO036	HMT-291	Prevotella denticola	Clone: AO036	GB: AY005054	Named	Oral
291AH005	HMT-291	Prevotella denticola	Clone: AH005	GB: AY005053	Named	Oral
291_3524	HMT-291	Prevotella denticola	Strain: ATCC 35308	GB: AY323524	Named	Oral
039CA006	HMT-039	Bdellovibrio sp. HMT 039	Clone: CA006	GB: AF385539	Phylotype	Unassigned
041_R004	HMT-041	Desulfobulbus sp. HMT 041	Clone: _R004	GB: AY005037	Phylotype	Oral
703_1623	HMT-703	Desulfomicrobium orale	Strain: DSM 12838	GB: AJ251623	Named	Oral
040BB161	HMT-040	Desulfovibrio sp. HMT 040	Clone: BB161	GB: AY005035	Phylotype	Unassigned
605_1630	HMT-605	Desulfovibrio fairfieldensis	Strain: DSM 12803	GB: AJ251630	Named	Unassigned
196N049A	HMT-196	Enhydrobacter aerosaccus	Strain: PAGU 1624	GB: NR_113385	Named	Unassigned
244N120A	HMT-244	Roseomonas gilardii	Strain: 5424	GB: NR_029061	Named	Unassigned
245N121A	HMT-245	Roseomonas mucosa	Strain: MDA5527	GB: NR_028857	Named	Unassigned
330N137A	HMT-330	Micavibrio aeruginosavorus	Strain: ARL-13	GB: DQ186612	Named	Unassigned
006FI012	HMT-006	Sphingomonas sp. HMT 006	Clone: FI012	GB: AY349411	Phylotype	Unassigned
342N143A	HMT-342	Novosphingobium panipatense	Strain: SM16	GB: NR_044210	Named	Unassigned
747_5837	HMT-747	Erythromicrobium ramosum	Strain: DSM 8510	GB: AF465837	Named	Unassigned
007_3452	HMT-007	Porphyrobacter tepidarius	Strain: 4b	GB: AJ223452	Named	Unassigned
003_0566	HMT-003	Sphingomonas echinoides	Clone: nby481c06c1	GB: HM830566	Named	Unassigned
004_9487	HMT-004	Sphingomonas sp. HMT 004	Clone: nby660h11c1	GB: HM839487	Phylotype	Unassigned
590_9422	HMT-590	Brevundimonas diminuta	Strain: IFO 3140	GB: D49422	Named	Unassigned
002_3433	HMT-002	Caulobacter sp. HMT 002	Strain: TWE165	GB: DQ493433	Phylotype	Unassigned
636_7774	HMT-636	Bosea vestrisii	Strain: G8569	GB: U87774	Named	Unassigned
597_5000	HMT-597	Bradyrhizobium elkanii	Strain: USDA 76	GB: U35000	Named	Unassigned
559_7759	HMT-559	Afipia broomeae	Strain: ATCC 49717	GB: U87759	Named	Unassigned
652_7769	HMT-652	Afipia sp. genotype 4	Strain: G9018	GB: U87769	Unnamed	Unassigned
104N072A	HMT-104	Paracoccus yeei	Strain: G1212	GB: NR_029038	Named	Unassigned
857_7798	HMT-857	Rhodobacter capsulatus	Strain: TCRI	GB: AB017798	Named	Unassigned
316N134A	HMT-316	Haematobacter missouriensis	Strain: H1892	GB: NR_043734	Named	Unassigned
659_0166	HMT-659	Mesorhizobium loti	Strain: ICMP 3153	GB: U50166	Named	Unassigned
660_5312	HMT-660	Defluvibacter lusatiensis	Strain: DSM 11099	GB: NR_025312	Named	Unassigned
